,place_id,user_id,score
0,12208,o32059,3.0
1,12208,10k2j6v,4.0
2,12208,1lq0eca,3.0
3,12208,1utpk4g,3.0
4,12207,ei95om,5.0
5,12207,10gl9nf,5.0
6,12207,17855pa,5.0
7,12207,1dk2guu,5.0
8,12207,12h7a5i,5.0
9,12207,qva7ph,5.0
10,12207,qu7bh8,5.0
11,12207,o32059,5.0
12,12207,g2gppv,3.0
13,12207,8s5m7b,4.0
14,12207,lglhb9,4.0
15,12207,Dark249,
16,12207,ssubelnum,
17,12207,so****,
18,12207,cjsgmlwk,
19,12207,호이호이1228,
20,12207,kim****,
21,12207,아름이7469,
22,12207,황혜빈70,
23,12207,달콤소금,
24,12207,료짱83,
25,12207,kun****,
26,12207,Moment,
27,12207,만년사춘기소녀,
28,12207,sum****,
29,12207,wod****,
30,12207,미래요정,
31,12207,eeage,3.0
32,12207,비또똘,
33,12207,밥풀8585,
34,12207,프롬나데,
35,12207,jun****,
36,12207,huggasi,
37,12207,atcoh,
38,12207,duck0069,
39,12207,bandits65,
40,12207,사랑과기쁨98,1.0
41,12207,꿈꾸는자유,
42,12207,plucktheday26,
43,12207,배짱마눌,
44,12207,자유인4653,
45,12207,땡그랑한스푼,
46,12207,dbw****,
47,12207,poe****,
48,12207,촬스9,
49,12207,도도447,
50,12207,HHye,5.0
51,12207,이경희8897,
52,12207,그린5458,5.0
53,12207,단호박5624,
54,12207,Sangsookgo,4.0
55,12207,Mr 짹슨,
56,12207,act****,4.0
57,12207,KSYwc,
58,12207,콩순이콩콩77,3.0
59,12207,yoe****,3.0
60,12207,징미니,5.0
61,12207,해삐4363,5.0
62,12207,소영쓰69,2.0
63,12207,hmthiem,
64,12207,고구마2744,4.0
65,12207,ONE7121,5.0
66,12207,뚜뚜4587,4.0
67,12207,yor****,5.0
68,12207,아기아빠,2.0
69,12207,도무스,3.5
70,12207,스위트홈67,5.0
71,12207,yottei,4.5
72,12207,jy8852,4.5
73,12207,히마와리22,4.0
74,12207,dodoys,5.0
75,12207,idr****,5.0
76,12207,sa****,5.0
77,12207,pko0225,4.5
78,12207,비니1343,5.0
79,12207,무혼이,4.0
80,12207,Cindyteacher,4.0
81,12216,10dduqh,4.0
82,12216,f387bb,4.0
83,12216,cj2b50,5.0
84,12216,cn8dji,5.0
85,12216,10k2j6v,5.0
86,12216,1061rhi,4.0
87,12216,192rv12,4.0
88,12216,10t7vh6,4.0
89,12216,14grfcu,5.0
90,12216,mudi3l,5.0
91,12216,raknaa,4.0
